Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
ST. VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,,,0.9541,5.0175,5.2587,,2020-07-01,2023-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,344.0,,1.0589,17.1812,16.2255,63.0,2020-07-01,2023-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,295.0,,1.0439,20.3295,19.474,63.0,2020-07-01,2023-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,70.0,,1.1146,11.9953,10.7622,12.0,2020-07-01,2023-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,,,0.9055,3.5711,3.9437,,2020-07-01,2023-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,84.0,,1.0505,19.7116,18.7646,20.0,2020-07-01,2023-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,160.0,,0.9685,13.8098,14.2595,20.0,2020-07-01,2023-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-COPD-HRRP,,,1.0044,13.3991,13.3406,,2020-07-01,2023-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-AMI-HRRP,,,1.0125,11.2791,11.1395,,2020-07-01,2023-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-PN-HRRP,214.0,,1.0434,17.3446,16.6237,40.0,2020-07-01,2023-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-CABG-HRRP,,,1.0792,12.1319,11.2418,,2020-07-01,2023-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-COPD-HRRP,,,0.9794,19.4001,19.808,,2020-07-01,2023-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HIP-KNEE-HRRP,,,1.1477,5.9146,5.1535,,2020-07-01,2023-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,229.0,,1.0005,20.5099,20.5005,47.0,2020-07-01,2023-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-AMI-HRRP,77.0,,1.0186,14.4337,14.1707,12.0,2020-07-01,2023-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,,,0.9039,3.0913,3.4198,,2020-07-01,2023-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,254.0,,0.9294,17.7522,19.1001,40.0,2020-07-01,2023-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-COPD-HRRP,162.0,,1.0188,17.2095,16.8912,29.0,2020-07-01,2023-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,236.0,,1.0441,15.3127,14.6665,39.0,2020-07-01,2023-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-COPD-HRRP,,,0.9912,17.8648,18.0228,,2020-07-01,2023-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,65.0,,1.058,15.7295,14.8668,14.0,2020-07-01,2023-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,34.0,,1.0522,21.5293,20.4608,11.0,2020-07-01,2023-06-30
FLOYD CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,,,0.9728,14.0753,14.4685,,2020-07-01,2023-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,305.0,,1.038,21.0958,20.324,67.0,2020-07-01,2023-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,,,1.1302,11.752,10.3983,,2020-07-01,2023-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,146.0,,1.0023,17.0171,16.9786,25.0,2020-07-01,2023-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,70.0,,0.9825,18.7156,19.049,12.0,2020-07-01,2023-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,,,1.0708,5.3868,5.0306,,2020-07-01,2023-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-AMI-HRRP,194.0,,1.0485,14.286,13.6247,30.0,2020-07-01,2023-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,233.0,,1.0422,17.2334,16.5361,43.0,2020-07-01,2023-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,,,0.9257,10.5183,11.3627,,2020-07-01,2023-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,325.0,,1.0036,19.3075,19.2384,63.0,2020-07-01,2023-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,79.0,,0.9693,17.6207,18.1793,12.0,2020-07-01,2023-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,146.0,,0.9784,14.4231,14.7409,20.0,2020-07-01,2023-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-PN-HRRP,,,0.905,13.3222,14.7207,,2020-07-01,2023-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,179.0,,1.0648,19.9011,18.6901,40.0,2020-07-01,2023-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-COPD-HRRP,,,0.9654,18.7893,19.4632,,2020-07-01,2023-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-AMI-HRRP,66.0,,1.0742,11.692,10.884,11.0,2020-07-01,2023-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-CABG-HRRP,,,1.0358,10.1365,9.7862,,2020-07-01,2023-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HIP-KNEE-HRRP,284.0,,0.9304,4.1957,4.5094,11.0,2020-07-01,2023-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-PN-HRRP,365.0,,1.1073,18.0778,16.3256,73.0,2020-07-01,2023-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-COPD-HRRP,154.0,,0.9857,19.4171,19.6981,29.0,2020-07-01,2023-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-CABG-HRRP,353.0,,1.0866,12.5237,11.5254,47.0,2020-07-01,2023-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-AMI-HRRP,289.0,,1.1,15.6982,14.2709,50.0,2020-07-01,2023-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HIP-KNEE-HRRP,,,1.125,9.5878,8.5228,,2020-07-01,2023-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,675.0,,0.9451,18.8084,19.9019,123.0,2020-07-01,2023-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HIP-KNEE-HRRP,,,1.0057,4.5902,4.5641,,2020-07-01,2023-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,367.0,,1.018,18.7366,18.4048,70.0,2020-07-01,2023-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,,,0.9979,12.4436,12.4695,,2020-07-01,2023-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-PN-HRRP,417.0,,1.0465,15.5805,14.888,68.0,2020-07-01,2023-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-COPD-HRRP,120.0,,1.0458,18.5561,17.7427,25.0,2020-07-01,2023-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-PN-HRRP,144.0,,1.0138,16.0281,15.8097,24.0,2020-07-01,2023-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-HIP-KNEE-HRRP,,,1.2033,5.9589,4.9522,,2020-07-01,2023-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,159.0,,1.0267,22.0685,21.4955,37.0,2020-07-01,2023-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-COPD-HRRP,,,0.9661,20.3127,21.0259,,2020-07-01,2023-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-CABG-HRRP,267.0,,0.8656,8.4711,9.7862,18.0,2020-07-01,2023-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HIP-KNEE-HRRP,168.0,,1.2959,6.3147,4.8727,14.0,2020-07-01,2023-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-AMI-HRRP,624.0,,0.9251,10.9967,11.8866,65.0,2020-07-01,2023-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-COPD-HRRP,426.0,,1.0004,17.3653,17.3585,74.0,2020-07-01,2023-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-PN-HRRP,1340.0,,0.9728,15.0627,15.4836,200.0,2020-07-01,2023-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1270.0,,0.9752,19.115,19.6017,241.0,2020-07-01,2023-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-PN-HRRP,235.0,,0.9714,16.5879,17.0766,37.0,2020-07-01,2023-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-AMI-HRRP,132.0,,0.9817,13.5491,13.8013,17.0,2020-07-01,2023-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,235.0,,0.9818,21.4155,21.8117,49.0,2020-07-01,2023-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-CABG-HRRP,,,1.0777,11.6737,10.8319,,2020-07-01,2023-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-COPD-HRRP,97.0,,0.9886,18.2568,18.4675,17.0,2020-07-01,2023-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,,,1.0242,6.1477,6.0027,,2020-07-01,2023-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HF-HRRP,,,0.9562,17.2586,18.0484,,2020-07-01,2023-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-PN-HRRP,,,0.9492,14.5598,15.339,,2020-07-01,2023-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HF-HRRP,,,0.9855,16.3397,16.5804,,2020-07-01,2023-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-PN-HRRP,,,0.9883,13.2847,13.4426,,2020-07-01,2023-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-COPD-HRRP,,,1.0488,16.6064,15.8337,,2020-07-01,2023-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,284.0,,1.0925,24.1014,22.0606,75.0,2020-07-01,2023-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-COPD-HRRP,103.0,,1.048,19.5145,18.6208,23.0,2020-07-01,2023-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-AMI-HRRP,,,0.9659,14.4405,14.9503,,2020-07-01,2023-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-PN-HRRP,277.0,,1.0904,18.7699,17.2133,58.0,2020-07-01,2023-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,102.0,,1.0285,18.698,18.1807,21.0,2020-07-01,2023-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HIP-KNEE-HRRP,,,0.89,3.7537,4.2178,,2020-07-01,2023-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-PN-HRRP,152.0,,1.0465,15.1301,14.4573,26.0,2020-07-01,2023-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-COPD-HRRP,59.0,,1.0438,17.6314,16.8909,13.0,2020-07-01,2023-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-PN-HRRP,,,1.0435,16.5639,15.8735,,2020-07-01,2023-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-PN-HRRP,305.0,,1.0004,15.402,15.3965,47.0,2020-07-01,2023-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-CABG-HRRP,84.0,,1.1755,12.6626,10.7725,16.0,2020-07-01,2023-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-HIP-KNEE-HRRP,,,1.2633,5.6766,4.4937,,2020-07-01,2023-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-COPD-HRRP,126.0,,0.9486,18.4986,19.5012,20.0,2020-07-01,2023-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,325.0,,0.9641,18.3209,19.0039,57.0,2020-07-01,2023-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-AMI-HRRP,263.0,,1.0867,12.9663,11.9315,38.0,2020-07-01,2023-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-AMI-HRRP,150.0,,1.0215,12.6646,12.3975,20.0,2020-07-01,2023-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-PN-HRRP,405.0,,1.037,16.1856,15.608,68.0,2020-07-01,2023-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-CABG-HRRP,96.0,,1.1313,12.3784,10.9421,16.0,2020-07-01,2023-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HIP-KNEE-HRRP,,,0.9213,4.3789,4.7531,,2020-07-01,2023-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-COPD-HRRP,82.0,,0.9772,16.3394,16.7206,12.0,2020-07-01,2023-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,439.0,,0.9489,18.6041,19.605,78.0,2020-07-01,2023-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-PN-HRRP,,,0.9402,13.8224,14.7021,,2020-07-01,2023-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-PN-HRRP,,,0.9772,16.8082,17.1996,,2020-07-01,2023-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-PN-HRRP,115.0,,0.9658,15.0548,15.5882,15.0,2020-07-01,2023-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-HF-HRRP,,,0.9393,16.5564,17.6268,,2020-07-01,2023-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-COPD-HRRP,,,0.998,17.373,17.4086,,2020-07-01,2023-06-30
WIREGRASS MEDICAL CENTER,10062,AL,READM-30-PN-HRRP,,,0.9722,15.5356,15.9792,,2020-07-01,2023-06-30
RUSSELL MEDICAL CENTER,10065,AL,READM-30-PN-HRRP,,,0.9314,14.6363,15.7145,,2020-07-01,2023-06-30
RUSSELL MEDICAL CENTER,10065,AL,READM-30-AMI-HRRP,,,1.0115,13.3263,13.1753,,2020-07-01,2023-06-30
RUSSELL MEDICAL CENTER,10065,AL,READM-30-COPD-HRRP,,,1.0035,15.2603,15.2076,,2020-07-01,2023-06-30
RUSSELL MEDICAL CENTER,10065,AL,READM-30-HF-HRRP,94.0,,0.9604,18.9587,19.74,15.0,2020-07-01,2023-06-30
RUSSELL MEDICAL CENTER,10065,AL,READM-30-HIP-KNEE-HRRP,,,0.8537,5.7981,6.7918,,2020-07-01,2023-06-30
MEDICAL CENTER BARBOUR,10069,AL,READM-30-HF-HRRP,,,1.0252,18.5654,18.1084,,2020-07-01,2023-06-30
MEDICAL CENTER BARBOUR,10069,AL,READM-30-PN-HRRP,,,0.9433,11.7933,12.5023,,2020-07-01,2023-06-30
CLAY COUNTY HOSPITAL,10073,AL,READM-30-PN-HRRP,,,0.9695,12.9448,13.3516,,2020-07-01,2023-06-30
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-HF-HRRP,311.0,,1.035,20.7547,20.0534,67.0,2020-07-01,2023-06-30
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-AMI-HRRP,196.0,,1.1409,17.0661,14.9585,40.0,2020-07-01,2023-06-30
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-PN-HRRP,270.0,,0.9644,16.0961,16.6898,41.0,2020-07-01,2023-06-30
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-HIP-KNEE-HRRP,177.0,,1.2908,5.5052,4.265,13.0,2020-07-01,2023-06-30
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-COPD-HRRP,190.0,,0.8528,16.7256,19.6126,22.0,2020-07-01,2023-06-30
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-HF-HRRP,151.0,,0.9989,19.254,19.2744,29.0,2020-07-01,2023-06-30
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-HIP-KNEE-HRRP,,,1.061,4.8484,4.5697,,2020-07-01,2023-06-30
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-COPD-HRRP,105.0,,1.0135,18.2752,18.0322,20.0,2020-07-01,2023-06-30
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-PN-HRRP,179.0,,1.0464,15.0886,14.4197,30.0,2020-07-01,2023-06-30
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-HIP-KNEE-HRRP,,,1.1909,5.8732,4.9315,,2020-07-01,2023-06-30
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-HF-HRRP,277.0,,1.0014,19.4598,19.433,54.0,2020-07-01,2023-06-30
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-PN-HRRP,262.0,,0.984,15.2954,15.5437,39.0,2020-07-01,2023-06-30
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-COPD-HRRP,116.0,,0.9495,16.4861,17.3629,16.0,2020-07-01,2023-06-30
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-AMI-HRRP,113.0,,1.018,12.5378,12.316,15.0,2020-07-01,2023-06-30
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-HIP-KNEE-HRRP,,,1.1523,7.2224,6.2677,,2020-07-01,2023-06-30
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-PN-HRRP,440.0,,0.9726,14.9667,15.389,64.0,2020-07-01,2023-06-30
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-HF-HRRP,399.0,,0.9652,18.6643,19.3369,72.0,2020-07-01,2023-06-30
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-COPD-HRRP,139.0,,1.0403,16.9957,16.3374,26.0,2020-07-01,2023-06-30
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-AMI-HRRP,,,0.9633,15.8423,16.4458,,2020-07-01,2023-06-30
NORTHWEST MEDICAL CENTER,10086,AL,READM-30-HF-HRRP,,,0.9898,18.6386,18.8311,,2020-07-01,2023-06-30
NORTHWEST MEDICAL CENTER,10086,AL,READM-30-PN-HRRP,,,0.925,13.9501,15.0819,,2020-07-01,2023-06-30
NORTHWEST MEDICAL CENTER,10086,AL,READM-30-COPD-HRRP,,,0.9167,16.5953,18.1026,,2020-07-01,2023-06-30
USA HEALTH UNIVERSITY HOSPITAL,10087,AL,READM-30-AMI-HRRP,,,0.9903,13.8751,14.0111,,2020-07-01,2023-06-30
USA HEALTH UNIVERSITY HOSPITAL,10087,AL,READM-30-PN-HRRP,,,0.9676,16.9059,17.4727,,2020-07-01,2023-06-30
USA HEALTH UNIVERSITY HOSPITAL,10087,AL,READM-30-HF-HRRP,,,1.0023,19.2135,19.1689,,2020-07-01,2023-06-30
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-COPD-HRRP,87.0,,1.0075,17.8648,17.7313,16.0,2020-07-01,2023-06-30
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-PN-HRRP,155.0,,0.9149,14.13,15.4442,16.0,2020-07-01,2023-06-30
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-HF-HRRP,154.0,,1.0249,19.0211,18.5589,31.0,2020-07-01,2023-06-30
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-HIP-KNEE-HRRP,,,0.9585,4.4314,4.6234,,2020-07-01,2023-06-30
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-AMI-HRRP,154.0,,1.0685,12.921,12.0927,23.0,2020-07-01,2023-06-30
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-COPD-HRRP,96.0,,0.9523,15.5225,16.2994,12.0,2020-07-01,2023-06-30
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-CABG-HRRP,,,0.997,10.0973,10.1274,,2020-07-01,2023-06-30
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-HF-HRRP,341.0,,0.9687,18.541,19.1392,61.0,2020-07-01,2023-06-30
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-PN-HRRP,285.0,,1.1009,17.3591,15.7677,56.0,2020-07-01,2023-06-30
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-HIP-KNEE-HRRP,,,1.1877,5.9217,4.9856,,2020-07-01,2023-06-30
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-CABG-HRRP,,,1.0061,9.7563,9.6976,,2020-07-01,2023-06-30
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-AMI-HRRP,173.0,,1.0291,12.5146,12.1604,23.0,2020-07-01,2023-06-30
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-HF-HRRP,681.0,,0.9813,18.5476,18.9006,125.0,2020-07-01,2023-06-30
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-COPD-HRRP,312.0,,1.1361,20.8401,18.3429,73.0,2020-07-01,2023-06-30
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-PN-HRRP,604.0,,1.1388,18.07,15.8669,118.0,2020-07-01,2023-06-30
ELMORE COMMUNITY HOSPITAL,10097,AL,READM-30-PN-HRRP,,,1.0172,12.9151,12.6968,,2020-07-01,2023-06-30
D W MCMILLAN MEMORIAL HOSPITAL,10099,AL,READM-30-HF-HRRP,,,0.993,17.397,17.5202,,2020-07-01,2023-06-30
D W MCMILLAN MEMORIAL HOSPITAL,10099,AL,READM-30-PN-HRRP,,,0.9716,13.5046,13.8999,,2020-07-01,2023-06-30
THOMAS HOSPITAL,10100,AL,READM-30-CABG-HRRP,202.0,,0.9432,9.8544,10.4479,18.0,2020-07-01,2023-06-30
THOMAS HOSPITAL,10100,AL,READM-30-HIP-KNEE-HRRP,,,0.8863,4.2558,4.8015,,2020-07-01,2023-06-30
THOMAS HOSPITAL,10100,AL,READM-30-PN-HRRP,342.0,,1.0643,15.7419,14.7909,58.0,2020-07-01,2023-06-30
THOMAS HOSPITAL,10100,AL,READM-30-HF-HRRP,334.0,,1.0359,19.9162,19.2259,69.0,2020-07-01,2023-06-30
THOMAS HOSPITAL,10100,AL,READM-30-COPD-HRRP,79.0,,1.063,19.2411,18.1012,19.0,2020-07-01,2023-06-30
THOMAS HOSPITAL,10100,AL,READM-30-AMI-HRRP,140.0,,0.9548,10.8037,11.3148,13.0,2020-07-01,2023-06-30
CITIZENS BAPTIST MEDICAL CENTER,10101,AL,READM-30-PN-HRRP,56.0,,1.1244,16.4345,14.6165,17.0,2020-07-01,2023-06-30
CITIZENS BAPTIST MEDICAL CENTER,10101,AL,READM-30-HF-HRRP,50.0,,1.0714,20.3155,18.9613,15.0,2020-07-01,2023-06-30
